Huffman Codes:
'\n': 11000
'space': 101
'!': 1000000
',': 01101
'-': 0000011111
'.': 00000100
':': 10001010100
';': 000001110
'A': 10001011
'B': 110011011
'D': 100010101101
'F': 100010100
'G': 11001101010
'H': 10000011
'I': 0110001
'K': 000001010
'L': 100010101111
'N': 100010101110
'O': 0000000
'R': 000001011
'S': 110011010011
'T': 0000001
'V': 100010101100
'W': 10000010
'Y': 10001010101
'a': 11011
'b': 111101
'c': 1000100
'd': 100001
'e': 010
'f': 100011
'g': 111100
'h': 0111
'i': 11111
'j': 11001101011
'k': 11001100
'l': 1110
'm': 110010
'n': 0010
'o': 0011
'p': 1100111
'q': 110011010010
'r': 11010
's': 0001
't': 1001
'u': 011001
'v': 00000110
'w': 000011
'x': 110011010000
'y': 000010
'z': 110011010001
'æ': 0000011110
'—': 0110000
