Character Probabilities:
'\n': 0.035800
'space': 0.146510
'!': 0.007220
',': 0.028881
'-': 0.000903
'.': 0.002708
':': 0.000602
';': 0.001504
'A': 0.004513
'B': 0.002407
'D': 0.000301
'F': 0.002106
'G': 0.000602
'H': 0.003911
'I': 0.006318
'K': 0.001203
'L': 0.000301
'N': 0.000301
'O': 0.005114
'R': 0.001504
'S': 0.000301
'T': 0.005114
'V': 0.000301
'W': 0.003610
'Y': 0.000602
'a': 0.038508
'b': 0.021059
'c': 0.008424
'd': 0.016546
'e': 0.101384
'f': 0.017750
'g': 0.019856
'h': 0.055355
'i': 0.042419
'j': 0.000602
'k': 0.004813
'l': 0.080024
'm': 0.017750
'n': 0.049940
'o': 0.050241
'p': 0.009928
'q': 0.000301
'r': 0.037605
's': 0.046631
't': 0.070698
'u': 0.012936
'v': 0.002708
'w': 0.012335
'x': 0.000301
'y': 0.011733
'z': 0.000301
'æ': 0.000903
'—': 0.006318
